Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
23.2,0,0.165525988,0.165525988,0.163533156,0.165525988,0.163533156,0,0,0,0,7.182593365,163.6395332,183.3332232,5436310000
23.21,0,0.165522989,0.165522989,0.16353182,0.165522989,0.16353182,0,0,0,0,7.181988804,163.6306012,183.3298532,5438653000
23.22,0,0.165519982,0.165519982,0.163530474,0.165519982,0.163530474,0,0,0,0,7.18138458,163.6216529,183.3264741,5440996000
23.23,0,0.16551699,0.16551699,0.16352914,0.16551699,0.16352914,0,0,0,0,7.180780633,163.6127046,183.3230951,5443340000
23.24,0,0.165513988,0.165513988,0.163527795,0.165513988,0.163527795,0,0,0,0,7.180177757,163.6037998,183.3197386,5445683000
23.25,0,0.165510999,0.165510999,0.163526461,0.165510999,0.163526461,0,0,0,0,7.179575068,163.5948831,183.3163758,5448026000
23.26,0,0.165508005,0.165508005,0.163525119,0.165508005,0.163525119,0,0,0,0,7.17897271,163.5859401,183.3129982,5450370000
23.27,0,0.16550502,0.16550502,0.163523784,0.16550502,0.163523784,0,0,0,0,7.178371432,163.5770513,183.3096491,5452713000
23.28,0,0.16550205,0.16550205,0.163522462,0.16550205,0.163522462,0,0,0,0,7.177770008,163.5681159,183.3062751,5455056000
23.29,0,0.165499062,0.165499062,0.163521121,0.165499062,0.163521121,0,0,0,0,7.177169654,163.5592313,183.3029276,5457399000
23.3,0,0.165496096,0.165496096,0.163519799,0.165496096,0.163519799,0,0,0,0,7.176569596,163.5503432,183.2995784,5459742000
